,mean test r,Parcellation,Feature Class,ROI / Num Features,Weighting,Trait,Subject Selection
339,0.17751723716590864,056_M,PCA,150,NOS,Cognition,all
340,0.1833705556399785,056_M,PCA,200,NOS,Cognition,all
341,0.157958645005304,056_M,PCA,56,NOS,Cognition,all
342,-0.06136331713509392,070,PCA,1,MD,Cognition,all
343,0.04001805868957278,070,PCA,2,MD,Cognition,all
344,0.01346112570889515,070,PCA,3,MD,Cognition,all
345,-0.011795009632670876,070,PCA,4,MD,Cognition,all
346,-0.0014018885222247645,070,PCA,5,MD,Cognition,all
347,0.056732295456203057,070,PCA,10,MD,Cognition,all
348,0.06718223028802378,070,PCA,15,MD,Cognition,all
349,0.09115537503515063,070,PCA,20,MD,Cognition,all
350,0.100606017307031,070,PCA,30,MD,Cognition,all
351,0.14054311103520592,070,PCA,40,MD,Cognition,all
352,0.1385627835539206,070,PCA,50,MD,Cognition,all
353,0.13426671156874634,070,PCA,60,MD,Cognition,all
354,0.12739488816217626,070,PCA,70,MD,Cognition,all
355,0.12023769679304445,070,PCA,80,MD,Cognition,all
356,0.11103628632190453,070,PCA,90,MD,Cognition,all
357,0.10292155067730478,070,PCA,100,MD,Cognition,all
358,0.09595871027371534,070,PCA,150,MD,Cognition,all
359,0.09587007674235798,070,PCA,200,MD,Cognition,all
360,0.12739488816217626,070,PCA,70,MD,Cognition,all
361,-0.05979018490616838,070,PCA,1,FA,Cognition,all
362,0.01486967728944369,070,PCA,2,FA,Cognition,all
363,0.0511022339604581,070,PCA,3,FA,Cognition,all
364,0.03538757189910893,070,PCA,4,FA,Cognition,all
365,0.09342776897846075,070,PCA,5,FA,Cognition,all
366,0.09973619475419271,070,PCA,10,FA,Cognition,all
367,0.10755693108916116,070,PCA,15,FA,Cognition,all
368,0.11246783955125805,070,PCA,20,FA,Cognition,all
369,0.13611936134540226,070,PCA,30,FA,Cognition,all
370,0.16164461998913204,070,PCA,40,FA,Cognition,all
371,0.16564164636121595,070,PCA,50,FA,Cognition,all
372,0.15770840160630686,070,PCA,60,FA,Cognition,all
373,0.14792989559048852,070,PCA,70,FA,Cognition,all
374,0.14205807011236854,070,PCA,80,FA,Cognition,all
375,0.13549470220209364,070,PCA,90,FA,Cognition,all
376,0.13053267995972473,070,PCA,100,FA,Cognition,all
377,0.1236977238133281,070,PCA,150,FA,Cognition,all
378,0.1316598315300976,070,PCA,200,FA,Cognition,all
379,0.14792989559048852,070,PCA,70,FA,Cognition,all
380,-0.06802013241600961,070,PCA,1,NOS,Cognition,all
381,-0.08823577124251197,070,PCA,2,NOS,Cognition,all
382,-0.05862398081786029,070,PCA,3,NOS,Cognition,all
383,-0.0700033920005725,070,PCA,4,NOS,Cognition,all
384,-0.07934682826728377,070,PCA,5,NOS,Cognition,all
385,0.07794698827311831,070,PCA,10,NOS,Cognition,all
386,0.0835128404272696,070,PCA,15,NOS,Cognition,all
387,0.09088841326046221,070,PCA,20,NOS,Cognition,all
388,0.12127223218944976,070,PCA,30,NOS,Cognition,all
389,0.12724680154134307,070,PCA,40,NOS,Cognition,all
390,0.13651786899939927,070,PCA,50,NOS,Cognition,all
391,0.13060526747489154,070,PCA,60,NOS,Cognition,all
392,0.1189592444397923,070,PCA,70,NOS,Cognition,all
393,0.11683011709078554,070,PCA,80,NOS,Cognition,all
394,0.1216134309250871,070,PCA,90,NOS,Cognition,all
395,0.11891481735853202,070,PCA,100,NOS,Cognition,all
396,0.12384725407325246,070,PCA,150,NOS,Cognition,all
397,0.13488412159534677,070,PCA,200,NOS,Cognition,all
398,0.1189592444397923,070,PCA,70,NOS,Cognition,all
399,-0.07863751680596598,079,PCA,1,MD,Cognition,all
400,-0.058712142211052046,079,PCA,2,MD,Cognition,all
401,-0.060673658987287944,079,PCA,3,MD,Cognition,all
402,-0.0707968685165782,079,PCA,4,MD,Cognition,all
403,-0.08233174805405953,079,PCA,5,MD,Cognition,all
404,-0.06262751635321838,079,PCA,10,MD,Cognition,all
405,-0.025610384843021788,079,PCA,15,MD,Cognition,all
406,-0.026510252869250482,079,PCA,20,MD,Cognition,all
407,0.04325028640060959,079,PCA,30,MD,Cognition,all
408,0.06112337475451891,079,PCA,40,MD,Cognition,all
409,0.06224415658873703,079,PCA,50,MD,Cognition,all
410,0.055142006758012736,079,PCA,60,MD,Cognition,all
411,0.0458891746648544,079,PCA,70,MD,Cognition,all
412,0.0401237033035223,079,PCA,80,MD,Cognition,all
413,0.032947300003849045,079,PCA,90,MD,Cognition,all
414,0.03140969756053045,079,PCA,100,MD,Cognition,all
415,0.009618733725833934,079,PCA,150,MD,Cognition,all
416,0.017972150069394732,079,PCA,200,MD,Cognition,all
417,0.03903428517015146,079,PCA,79,MD,Cognition,all
